clip_id,klasse,quelle,session,pfad
._20260323_112252_Caveman_008_L,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/._20260323_112252_Caveman_008_L.mp4
20260323_111823_Caveman_001_R,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_111823_Caveman_001_R.mp4
20260323_111849_Caveman_002_L,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_111849_Caveman_002_L.mp4
20260323_111931_Caveman_003_R,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_111931_Caveman_003_R.mp4
20260323_112000_Caveman_004_L,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112000_Caveman_004_L.mp4
20260323_112044_Caveman_005_R,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112044_Caveman_005_R.mp4
20260323_112110_Caveman_006_L,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112110_Caveman_006_L.mp4
20260323_112224_Caveman_007_R,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112224_Caveman_007_R.mp4
20260323_112252_Caveman_008_L,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112252_Caveman_008_L.mp4
20260323_112323_Caveman_009_R,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112323_Caveman_009_R.mp4
20260323_112353_Caveman_010_L,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112353_Caveman_010_L.mp4
._VID_20251103_102003742_L_Caveman_001,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/._VID_20251103_102003742_L_Caveman_001.mp4
VID_20251103_102003742_L_Caveman_001,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102003742_L_Caveman_001.mp4
VID_20251103_102029387_R_Caveman_002,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102029387_R_Caveman_002.mp4
VID_20251103_102053509_L_Caveman_003,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102053509_L_Caveman_003.mp4
VID_20251103_102123306_R_Caveman_004,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102123306_R_Caveman_004.mp4
VID_20251103_102145497_L_Caveman_005,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102145497_L_Caveman_005.mp4
VID_20251103_102208411_R_Caveman_006,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102208411_R_Caveman_006.mp4
VID_20251103_102233092_L_Caveman_007,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102233092_L_Caveman_007.mp4
VID_20251103_102254407_R_Caveman_008,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102254407_R_Caveman_008.mp4
VID_20251103_102316822_L_Caveman_009,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102316822_L_Caveman_009.mp4
VID_20251103_102339061_R_Caveman_010,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102339061_R_Caveman_010.mp4
VID_20251103_102805418_L_Caveman_011,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102805418_L_Caveman_011.mp4
VID_20251103_102828010_R_Caveman_012_slightlyblurry,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102828010_R_Caveman_012_slightlyblurry.mp4
VID_20251103_102849706_L_Caveman_013_failed,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102849706_L_Caveman_013_failed.mp4
VID_20251103_102938681_R_Caveman_014,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102938681_R_Caveman_014.mp4
VID_20251103_102959498_L_Caveman_015,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102959498_L_Caveman_015.mp4
VID_20251103_103023081_R_Caveman_016,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_103023081_R_Caveman_016.mp4
VID_20251103_103050072_L_Caveman_017,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_103050072_L_Caveman_017.mp4
VID_20251103_103112122_R_Caveman_018,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_103112122_R_Caveman_018.mp4
