clip_id,klasse,quelle,session,pfad
VID_20251103_102316822_L_Caveman_009,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_102316822_L_Caveman_009.mp4
VID_20251110_102623624,Caveman,Caveman,20251110_videos_LDF_Caveman-Tricks-Steps_lightissues,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251110_videos_LDF_Caveman-Tricks-Steps_lightissues/20251110_Caveman/VID_20251110_102623624.mp4
VID_20251201_100545558,Caveman,Caveman,20251201_videos_LDF_Caveman-Tricks-Steps,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251201_videos_LDF_Caveman-Tricks-Steps/20251201_Caveman/VID_20251201_100545558.mp4
VID_20251208_102241115,Caveman,Caveman,20251208_videos_LDF_Caveman-Basics-Tricks_wetfloor,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251208_videos_LDF_Caveman-Basics-Tricks_wetfloor/20251208_Caveman/VID_20251208_102241115.mp4
20260323_112224_Caveman_007_R,Caveman,Caveman,20260323_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260323_videos_LDF_Caveman/20260323_112224_Caveman_007_R.mp4
20260330_121939_Caveman_001_R,Caveman,Caveman,20260330_videos_LDF_Tricks,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260330_videos_LDF_Tricks/20260330_121939_Caveman_001_R.mp4
20260413_105045_Caveman_007_R,Caveman,Caveman,20260413_videos_LDF_Tricks-Steps,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20260413_videos_LDF_Tricks-Steps/20260413_105045_Caveman_007_R.mp4
VID_20251103_110903960_R_Caveman_096,Caveman,Caveman,20251103_videos_LDF_Caveman,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251103_videos_LDF_Caveman/VID_20251103_110903960_R_Caveman_096.mp4
VID_20251110_103048059,Caveman,Caveman,20251110_videos_LDF_Caveman-Tricks-Steps_lightissues,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251110_videos_LDF_Caveman-Tricks-Steps_lightissues/20251110_Caveman/VID_20251110_103048059.mp4
VID_20251201_095951333,Caveman,Caveman,20251201_videos_LDF_Caveman-Tricks-Steps,/Volumes/HHN_LBSBLab/HHN_GECKO_LBSBLab/HHN_GECKO_LBSBLab_videos/20251201_videos_LDF_Caveman-Tricks-Steps/20251201_Caveman/VID_20251201_095951333.mp4
